SKU,cates,img_url,name,price,tag
 WM2134 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-A-Fourth-Raikage-WM2134-Minifigures-600x600.jpg,Anime Naruto Shippuden A (Fourth Raikage) WM2134 Minifigures,1.4,A
 WM2135 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Hiruzen-Sarutobi-Battle-Suit-WM2135-Minifigures-600x600.jpg,Anime Naruto Shippuden Hiruzen Sarutobi (Battle Suit) WM2135 Minifigures,1.2,Hiruzen Sarutobi
 WM2136 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Gaara-WM2136-Minifigures-600x600.jpg,Anime Naruto Shippuden Gaara WM2136 Minifigures,1.4,Gaara
 WM2137 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Temari-WM2137-Minifigures-600x600.jpg,Anime Naruto Shippuden Temari WM2137 Minifigures,1.4,Temari
 WM2138 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Kankuro-WM2138-Minifigures-600x600.jpg,Anime Naruto Shippuden Kankuro WM2138 Minifigures,1.4,Kankuro
 K2093 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Kimimaro-K2093-Minifigures-600x600.jpg,Anime Naruto Shippuden Kimimaro K2093 Minifigures,1.1,Kimimaro
 K2094 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Nara-Shikamaru-K2094-Minifigures-600x600.jpg,Anime Naruto Shippuden Nara Shikamaru K2094 Minifigures,1.1,Nara Shikamaru
 WM2103 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Tsunade-WM2103-Minifigures-600x600.jpg,Anime Naruto Shippuden Tsunade WM2103 Minifigures,1.3,Tsunade
 K2095 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Tayuya-K2095-Minifigures-600x600.jpg,Anime Naruto Shippuden Tayuya K2095 Minifigures,1.1,Tayuya
 WM2104 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Jiraiya-WM2104-Minifigures-600x600.jpg,Anime Naruto Shippuden Jiraiya WM2104 Minifigures,1.3,Jiraiya
 K2001 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Sasuke-Akatsuki-K2001-Minifigures-600x600.jpg,Anime Naruto Shippuden Sasuke Uchiha (Akatsuki) K2001 Minifigures,1.0,Sasuke Uchiha
 K2002 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Pain-Deva-Path-K2002-Minifigures-600x600.jpg,Anime Naruto Shippuden Pain (Deva Path) K2002 Minifigures,1.0,Pain
 K2003 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hoshigaki-Kisame-Akatsuki-K2003-Minifigures-600x600.jpg,Anime Naruto Shippuden Hoshigaki Kisame (Akatsuki) K2003 Minifigures,1.0,Hoshigaki Kisame
 K2005 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hidan-Jashin-sama-ritual-K2005-Minifigures-600x600.jpg,Anime Naruto Shippuden Hidan (Jashin-sama ritual) K2005 Minifigures,1.0,Hidan
 K2004 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Yahiko-Amegakures-shinobi-K2004-Minifigures-600x600.jpg,Anime Naruto Shippuden Yahiko (Amegakure’s shinobi) K2004 Minifigures,1.0,Pain
 K2006 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Itachi-Akatsuki-K2006-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Itachi (Akatsuki) K2006 Minifigures,1.0,Uchiha Itachi
 WM2132 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Hiruzen-Sarutobi-Hokage-WM2132-Minifigures-600x600.jpg,Anime Naruto Shippuden Hiruzen Sarutobi (Hokage) WM2132 Minifigures,1.0,Hiruzen Sarutobi
 WM2131 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/10/Anime-Naruto-Shippuden-Onoki-Tsuchikage-WM2131-Minifigures-600x600.jpg,Anime Naruto Shippuden Ōnoki (Tsuchikage) WM2131 Minifigures,1.0,Ōnoki
 WM2094 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Madara-WM2094-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Madara WM2094 Minifigures,1.1,Uchiha Madara
 WM2102 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Haruno-Sakura-WM2102-Minifigures-600x600.jpg,Anime Naruto Shippuden Haruno Sakura WM2102 Minifigures,1.3,Haruno Sakura
 WM2095 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Deidara-WM2095-Minifigures-600x600.jpg,Anime Naruto Shippuden Deidara WM2095 Minifigures,1.1,Deidara
 WM2096 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hoshigaki-Kisame-WM2096-Minifigures-600x600.jpg,Anime Naruto Shippuden Hoshigaki Kisame WM2096 Minifigures,1.1,Hoshigaki Kisame
 WM2098 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hyuga-Hinata-WM2098-Minifigures-600x600.jpg,Anime Naruto Shippuden Hyuga Hinata WM2098 Minifigures,1.3,Hyuga Hinata
 WM2097 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-WM2097-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki WM2097 Minifigures,1.3,Naruto Uzumaki
 WM2100 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Haku-WM2100-Minifigures-600x600.jpg,Anime Naruto Shippuden Haku WM2100 Minifigures,1.3,Haku
 WM2099 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Zabuza-WM2099-Minifigures-600x600.jpg,Anime Naruto Shippuden Zabuza WM2099 Minifigures,1.3,Zabuza
 WM2110 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Tobirama-Senju-WM2110-Minifigures-600x600.jpg,Anime Naruto Shippuden Tobirama Senju WM2110 Minifigures,1.3,Tobirama Senju
 WM2101 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-WM2101-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki WM2101 Minifigures,1.3,Naruto Uzumaki
 WM2107 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-WM2107-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki WM2107 Minifigures,1.3,Naruto Uzumaki
 WM2108 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Orochimaru-WM2108-Minifigures-600x600.jpg,Anime Naruto Shippuden Orochimaru WM2108 Minifigures,1.3,Orochimaru
 WM2109 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Kabuto-Yakushi-WM2109-Minifigures-600x600.jpg,Anime Naruto Shippuden Kabuto Yakushi WM2109 Minifigures,1.3,Kabuto Yakushi
 WM2111 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hashirama-Senju-WM2111-Minifigures-600x600.jpg,Anime Naruto Shippuden Hashirama Senju WM2111 Minifigures,1.3,Hashirama Senju
 WM2112 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Killer-Bee-WM2112-Minifigures-600x600.jpg,Anime Naruto Shippuden Killer Bee WM2112 Minifigures,1.3,Killer Bee
 WM2089 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Pain-WM2089-Minifigures-600x600.jpg,Anime Naruto Shippuden Pain WM2089 Minifigures,1.1,Pain
 WM2090 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Konan-WM2090-Minifigures-600x600.jpg,Anime Naruto Shippuden Konan WM2090 Minifigures,1.1,Konan
 WM2091 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Nagato-WM2091-Minifigures-600x600.jpg,Anime Naruto Shippuden Nagato WM2091 Minifigures,1.1,Nagato
 WM2092 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Itachi-WM2092-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Itachi WM2092 Minifigures,1.1,Uchiha Itachi
 WM2093 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Zetsu-WM2093-Minifigures-600x600.jpg,Anime Naruto Shippuden Zetsu WM2093 Minifigures,1.1,Zetsu
 WM2106 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Minato-Namikaze-WM2106-Minifigures-600x600.jpg,Anime Naruto Shippuden Minato Namikaze WM2106 Minifigures,1.3,Minato Namikaze
 K2042 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hashirama-Senju-K2042-Minifigures-600x600.jpg,Anime Naruto Shippuden Hashirama Senju K2042 Minifigures,1.1,Hashirama Senju
 K2041 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hoshigaki-Kisame-K2041-Minifigures-600x600.jpg,Anime Naruto Shippuden Hoshigaki Kisame K2041 Minifigures,1.1,Hoshigaki Kisame
 K2043 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2043-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2043 Minifigures,1.1,Naruto Uzumaki
 K2044 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2044-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2044 Minifigures,1.1,Naruto Uzumaki
 WM2105 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-WM2105-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki WM2105 Minifigures,1.3,Naruto Uzumaki
 WM2121 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Madara-WM2121-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Madara WM2121 Minifigures,1.3,Uchiha Madara
 WM2117 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hatake-Kakashi-WM2117-Minifigures-600x600.jpg,Anime Naruto Shippuden Hatake Kakashi WM2117 Minifigures,1.3,Hatake Kakashi
 WM2120 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Zetsu-WM2120-Minifigures-600x600.jpg,Anime Naruto Shippuden Zetsu WM2120 Minifigures,1.0,Zetsu
 WM2085 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Sasori-WM2085-Minifigures-600x600.jpg,Anime Naruto Shippuden Sasori WM2085 Minifigures,1.1,Sasori
 WM2086 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Hidan-WM2086-Minifigures-600x600.jpg,Anime Naruto Shippuden Hidan WM2086 Minifigures,1.1,Hidan
 WM2087 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Kakuzu-WM2087-Minifigures-600x600.jpg,Anime Naruto Shippuden Kakuzu WM2087 Minifigures,1.1,Kakuzu
 WM2088 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Pain-Preta-Path-WM2088-Minifigures-600x600.jpg,Anime Naruto Shippuden Pain (Preta Path) WM2088 Minifigures,1.1,Pain
 WM2118 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Rock-Lee-WM2118-Minifigures-600x600.jpg,Anime Naruto Shippuden Rock Lee WM2118 Minifigures,1.0,Rock Lee
 WM2115 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Minato-Namikaze-WM2115-Minifigures-600x600.jpg,Anime Naruto Shippuden Minato Namikaze WM2115 Minifigures,1.3,Minato Namikaze
 WM2116 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Sasuke-Uchiha-WM2116-Minifigures-600x600.jpg,Anime Naruto Shippuden Sasuke Uchiha WM2116 Minifigures,1.3,Sasuke Uchiha
 WM2119 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Madara-WM2119-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Madara WM2119 Minifigures,1.3,Uchiha Madara
 WM2122 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Might-Guy-WM2122-Minifigures-600x600.jpg,Anime Naruto Shippuden Might Guy WM2122 Minifigures,1.5,Might Guy
 K2039 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2039-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2039 Minifigures,1.1,Naruto Uzumaki
 K2040 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2040-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2040 Minifigures,1.1,Naruto Uzumaki
 WM2084 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Hatake-Kakashi-WM2084-Minifigures-600x600.jpg,Anime Naruto Shippuden Hatake Kakashi WM2084 Minifigures,1.1,Hatake Kakashi
 WM2081 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Uchiha-Obito-WM2081-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Obito WM2081 Minifigures,1.1,Uchiha Obito
 WM2083 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Sasuke-Uchiha-WM2083-Minifigures-600x600.jpg,Anime Naruto Shippuden Sasuke Uchiha WM2083 Minifigures,1.1,Sasuke Uchiha
 WM2082 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Naruto-Uzumaki-WM2082-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki WM2082 Minifigures,1.1,Naruto Uzumaki
